Turbo Title,Setup,Thread ID,Game ID,Winning Alignment,Villagers,Wolves
db test - [joat10 game],joat10,43175,6557,Town,"['Butterr', 'WolfnodDotGif', 'Viggeh', 'William Williams Keen', 'deine mudda', 'gamer', 'Seel', 'benneh']","['Joe Bruin', 'katze']"
stop CANCELING - [joat10 game],joat10,43180,6558,Mafia,"['baudib1', 'InstantHammer', 'Porscha', 'gamer', 'anne.', 'tepig19283', 'Hooper', 'bystander']","['townboy', 'Arctic']"
the title fucked it all - [joat10 game],joat10,43184,6559,Town,"['insomnia', 'baudib1', 'Zharvakko', 'InstantHammer', 'snally', 'arogame123', 'BigMenLover9923', 'Rem']","['lol', 'tepig19283']"
benneh is subbing in to this when i rwstfo - [joat10 game],joat10,43188,6560,Mafia,"['Hooper', 'gamer', 'Athena Cykes', 'tepig19283', 'arogame123', 'InstantHammer', 'lol', 'Akasuki']","['Nilus', 'baudib1']"
fartic - [joat10 game],joat10,43192,6561,Town,"['bystander', 'Nilus', 'loopy69', 'Ogerpon', 'Hooper', 'baudib1', 'tepig19283', 'insomnia']","['arogame123', 'Arctic']"
epic ifMud turb - [joat10 game],joat10,43200,6563,Town,"['benneh', 'insomnia', 'Arctic', 'Zharvakko', 'Akasuki', 'Haze with a Z', 'arogame123', 'MerelBlackbird']","['rotomwash', 'bystander']"
its TURBO time so im get pan its makes big oil for pay good - [joat10 game],joat10,43204,6564,Town,"['matt', 'Juliette', 'Ogerpon', 'gamer', 'baudib1', 'insomnia', 'Vaporeon', 'funni boi']","['Akasuki', 'rotomwash']"
(wake me up) wake me up inside (can't wake up) - [joat10 game],joat10,43208,6565,Town,"['Juliette', 'Purrito', 'anne.', 'benneh', 'Hallia', 'Ogerpon', 'fires', 'Vaporeon']","['rotomwash', 'santa']"
brad will rand town i promise - [joat10 game],joat10,43212,6566,Town,"['rotomwash', 'alexa.', 'gamer', 'jess', 'Amrock', 'baudib1', 'Homeslice', 'tepig19283']","['matt', 'Akasuki']"
village sweeps again - [joat10 game],joat10,43216,6567,Mafia,"['Amrock', 'baudib1', 'jess', 'arogame123', 'snally', 'Akasuki', 'fires', 'mhsmith0']","['matt', 'gamer']"
stfu Katze - [joat10 game],joat10,43240,6571,Town,"['baudib1', 'Arctic', 'InstantHammer', 'Ogerpon', 'rotomwash', 'snally', 'Akasuki', 'Happy']","['alexa.', 'matt']"
fires and matt are v/v this time frfr - [joat10 game],joat10,43245,6572,Town,"['baudib1', 'Amrock', 'Happy', 'Zharvakko', 'gamer', 'bystander', 'fires', 'matt']","['snally', 'mhsmith0']"
Automated turbo game thread: 102eb08a-8f05-4b - [joat10 game],joat10,43249,6573,Mafia,"['Amrock', 'gamer', 'baudib1', 'snally', 'julia', 'Zharvakko', 'mhsmith0', 'rotomwash']","['matt', 'alexa.']"
lunch JOAT D1 - [joat10 game],joat10,43253,6574,Town,"['Prince J', 'baudib1', 'Zharvakko', 'mhsmith0', 'benneh', 'Amrock', 'gamer', 'DANKEY KANG']","['fires', 'julia']"
Hally lunches Benneh - [joat10 game],joat10,43262,6576,Mafia,"['Arctic', 'bystander', 'baudib1', 'Pony', 'gamer', 'lol', 'snally', 'benneh']","['matt', 'Nilus']"
NO OUTSIES - [doublejoat13 game],doublejoat13,43271,6578,Town,"['evakyoo', 'Garden Gnome', 'CutenessOverload', 'Arctic', 'Pony', 'benneh', 'snally', 'tepig19283', 'Variance', 'BigMenLover9923']","['Haze with a Z', 'TigerWoodsPGATour2004', 'Akasuki']"
stun seed - [joat10 game],joat10,43275,6579,Town,"['evakyoo', 'bystander', 'funni boi', 'TigerWoodsPGATour2004', 'CutenessOverload', 'Pony', 'tepig19283', 'Haze with a Z']","['matt', 'Akasuki']"
d1 anne real!!! - [joat10 game],joat10,43280,6580,Town,"['Homeslice', 'CutenessOverload', 'Macdougall', 'Prince J', 'baudib1', 'Porscha', 'Hooper', 'gamer']","['funni boi', 'rotomwash']"
